,tweet_id,timestamp,source,text,expanded_urls,name,rat_den,rat_num,dog_type,created_at,likes,retweet_count,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
11,889880896479866881,2017-07-25 16:11:53,http://twitter.com/download/iphone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,Bruno,10.0,13.0,None,2017-07-25 16:11:53,26396.0,4603.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,Muzzle,0.0829811,False
12,889665388333682689,2017-07-25 01:55:32,http://twitter.com/download/iphone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,None,10.0,13.0,puppo,2017-07-25 01:55:32,45491.0,9224.0,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1.0,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True
13,889638837579907072,2017-07-25 00:10:02,http://twitter.com/download/iphone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",Ted,10.0,12.0,None,2017-07-25 00:10:02,25621.0,4141.0,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,French_bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True
14,889531135344209921,2017-07-24 17:02:04,http://twitter.com/download/iphone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,Stuart,10.0,13.0,puppo,2017-07-24 17:02:04,14315.0,2081.0,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,Golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,Redbone,0.00795775,True
15,889278841981685760,2017-07-24 00:19:32,http://twitter.com/download/iphone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,Oliver,10.0,13.0,None,2017-07-24 00:19:32,23848.0,4924.0,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True
16,888917238123831296,2017-07-23 00:22:39,http://twitter.com/download/iphone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,Jim,10.0,12.0,None,2017-07-23 00:22:39,27568.0,4151.0,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1.0,Golden_retriever,0.714719,True,Tibetan_mastiff,0.120184,True,Labrador_retriever,0.105506,True
17,888804989199671297,2017-07-22 16:56:37,http://twitter.com/download/iphone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",Zeke,10.0,13.0,None,2017-07-22 16:56:37,24223.0,3925.0,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1.0,Golden_retriever,0.46976,True,Labrador_retriever,0.184172,True,English_setter,0.0734817,True
18,888554962724278272,2017-07-22 00:23:06,http://twitter.com/download/iphone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",Ralphus,10.0,13.0,None,2017-07-22 00:23:06,18704.0,3219.0,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3.0,Siberian_husky,0.700377,True,Eskimo_dog,0.166511,True,Malamute,0.111411,True
19,888078434458587136,2017-07-20 16:49:33,http://twitter.com/download/iphone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",Gerald,10.0,12.0,None,2017-07-20 16:49:33,20613.0,3193.0,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1.0,French_bulldog,0.995026,True,Pug,0.000931908,True,Bull_mastiff,0.000903211,True
20,887705289381826560,2017-07-19 16:06:48,http://twitter.com/download/iphone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://twitter.com/dog_rates/status/887705289381826560/photo/1,Jeffrey,10.0,13.0,None,2017-07-19 16:06:48,28602.0,4957.0,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1.0,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.026236400000000003,True
21,887517139158093824,2017-07-19 03:39:09,http://twitter.com/download/iphone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,https://twitter.com/dog_rates/status/887517139158093824/video/1,Such,10.0,14.0,None,2017-07-19 03:39:09,43864.0,10835.0,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1.0,Limousine,0.130432,False,Tow_truck,0.0291754,False,Shopping_cart,0.0263208,False
22,887473957103951883,2017-07-19 00:47:34,http://twitter.com/download/iphone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",Canela,10.0,13.0,None,2017-07-19 00:47:34,65207.0,16609.0,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2.0,Pembroke,0.809197,True,Rhodesian_ridgeback,0.05495,True,Beagle,0.0389148,True
23,887343217045368832,2017-07-18 16:08:03,http://twitter.com/download/iphone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,https://twitter.com/dog_rates/status/887343217045368832/video/1,None,10.0,13.0,None,2017-07-18 16:08:03,31872.0,9640.0,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1.0,Mexican_hairless,0.330741,True,Sea_lion,0.275645,False,Weimaraner,0.134203,True
24,887101392804085760,2017-07-18 00:07:08,http://twitter.com/download/iphone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,https://twitter.com/dog_rates/status/887101392804085760/photo/1,None,10.0,12.0,None,2017-07-18 00:07:08,28981.0,5495.0,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1.0,Samoyed,0.733942,True,Eskimo_dog,0.0350295,True,Staffordshire_bullterrier,0.029704700000000007,True
25,886983233522544640,2017-07-17 16:17:36,http://twitter.com/download/iphone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",Maya,10.0,13.0,None,2017-07-17 16:17:36,33135.0,7088.0,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2.0,Chihuahua,0.793469,True,Toy_terrier,0.143528,True,Can_opener,0.0322529,False
26,886736880519319552,2017-07-16 23:58:41,http://twitter.com/download/iphone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b","https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",Mingus,10.0,13.0,None,2017-07-16 23:58:41,11361.0,2971.0,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1.0,Kuvasz,0.309706,True,Great_pyrenees,0.186136,True,Dandie_dinmont,0.08634630000000001,True
27,886680336477933568,2017-07-16 20:14:00,http://twitter.com/download/iphone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,https://twitter.com/dog_rates/status/886680336477933568/photo/1,Derek,10.0,13.0,None,2017-07-16 20:14:00,21258.0,4114.0,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,1.0,Convertible,0.738995,False,Sports_car,0.139952,False,Car_wheel,0.0441727,False
28,886366144734445568,2017-07-15 23:25:31,http://twitter.com/download/iphone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",Roscoe,10.0,12.0,pupper,2017-07-15 23:25:31,20015.0,2921.0,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1.0,French_bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston_bull,7.55616e-05,True
29,886258384151887873,2017-07-15 16:17:19,http://twitter.com/download/iphone,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,https://twitter.com/dog_rates/status/886258384151887873/photo/1,Waffles,10.0,13.0,None,2017-07-15 16:17:19,26500.0,5817.0,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,1.0,Pug,0.943575,True,Shower_cap,0.0252856,False,Siamese_cat,0.00284892,False
30,885984800019947520,2017-07-14 22:10:11,http://twitter.com/download/iphone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,https://twitter.com/dog_rates/status/885984800019947520/photo/1,Jimbo,10.0,12.0,None,2017-07-14 22:10:11,30847.0,6197.0,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1.0,Blenheim_spaniel,0.972494,True,Shih-tzu,0.00663012,True,Bernese_mountain_dog,0.00623915,True
31,885528943205470208,2017-07-13 15:58:47,http://twitter.com/download/iphone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,https://twitter.com/dog_rates/status/885528943205470208/photo/1,Maisey,10.0,13.0,None,2017-07-13 15:58:47,34055.0,5888.0,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1.0,Pug,0.369275,True,Labrador_retriever,0.265835,True,Kuvasz,0.134697,True
33,885167619883638784,2017-07-12 16:03:00,http://twitter.com/download/iphone,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,"https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1",None,10.0,13.0,None,2017-07-12 16:03:00,20736.0,4034.0,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,4.0,Malamute,0.8124819999999999,True,Siberian_husky,0.0717125,True,Eskimo_dog,0.0557697,True
34,884925521741709313,2017-07-12 00:01:00,http://twitter.com/download/iphone,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",https://twitter.com/dog_rates/status/884925521741709313/photo/1,Earl,10.0,12.0,None,2017-07-12 00:01:00,73129.0,16696.0,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1.0,Italian_greyhound,0.259916,True,American_staffordshire_terrier,0.198451,True,Staffordshire_bullterrier,0.127725,True
35,884876753390489601,2017-07-11 20:47:12,http://twitter.com/download/iphone,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,"https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1",Lola,10.0,13.0,None,2017-07-11 20:47:12,26384.0,5156.0,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,1.0,Chow,0.822103,True,Norwich_terrier,0.106075,True,Norfolk_terrier,0.0373485,True
36,884562892145688576,2017-07-11 00:00:02,http://twitter.com/download/iphone,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,https://twitter.com/dog_rates/status/884562892145688576/photo/1,Kevin,10.0,13.0,None,2017-07-11 00:00:02,22996.0,4335.0,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1.0,Pug,0.5464060000000001,True,French_bulldog,0.404291,True,Brabancon_griffon,0.0440019,True
37,884441805382717440,2017-07-10 15:58:53,http://twitter.com/download/iphone,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",https://twitter.com/dog_rates/status/884441805382717440/photo/1,None,10.0,14.0,None,2017-07-10 15:58:53,25609.0,5244.0,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,1.0,Pembroke,0.993225,True,Cardigan,0.00321648,True,Chihuahua,0.00208089,True
39,884162670584377345,2017-07-09 21:29:42,http://twitter.com/download/iphone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,https://twitter.com/dog_rates/status/884162670584377345/photo/1,Yogi,10.0,12.0,doggo,2017-07-09 21:29:42,19312.0,2761.0,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1.0,German_shepherd,0.707046,True,Malinois,0.199396,True,Norwegian_elkhound,0.0491476,True
40,883838122936631299,2017-07-09 00:00:04,http://twitter.com/download/iphone,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,https://twitter.com/dog_rates/status/883838122936631299/photo/1,Noah,10.0,12.0,None,2017-07-09 00:00:04,20687.0,3180.0,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1.0,Doberman,0.610946,True,Miniature_pinscher,0.299603,True,Kelpie,0.0630203,True
41,883482846933004288,2017-07-08 00:28:19,http://twitter.com/download/iphone,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948","https://twitter.com/dog_rates/status/883482846933004288/photo/1,https://twitter.com/dog_rates/status/883482846933004288/photo/1",Bella,10.0,5.0,None,2017-07-08 00:28:19,43421.0,9108.0,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,1.0,Golden_retriever,0.943082,True,Labrador_retriever,0.032409,True,Kuvasz,0.00550072,True
42,883360690899218434,2017-07-07 16:22:55,http://twitter.com/download/iphone,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,https://twitter.com/dog_rates/status/883360690899218434/photo/1,Grizzwald,10.0,13.0,floofer,2017-07-07 16:22:55,21490.0,3420.0,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,1.0,Chow,0.987997,True,Tibetan_mastiff,0.00709872,True,Newfoundland,0.00214033,True
43,883117836046086144,2017-07-07 00:17:54,http://twitter.com/download/iphone,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat https://t.co/Se5fZ9wp5E","https://twitter.com/dog_rates/status/883117836046086144/photo/1,https://twitter.com/dog_rates/status/883117836046086144/photo/1",None,10.0,13.0,None,2017-07-07 00:17:54,35139.0,6121.0,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,2.0,Golden_retriever,0.949562,True,Labrador_retriever,0.045947900000000014,True,Kuvasz,0.00247094,True
44,882992080364220416,2017-07-06 15:58:11,http://twitter.com/download/iphone,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,"https://twitter.com/dog_rates/status/882992080364220416/photo/1,https://twitter.com/dog_rates/status/882992080364220416/photo/1",Rusty,10.0,13.0,None,2017-07-06 15:58:11,22628.0,3592.0,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,1.0,Eskimo_dog,0.466778,True,Siberian_husky,0.406044,True,Dingo,0.07341439999999999,False
45,882762694511734784,2017-07-06 00:46:41,http://twitter.com/download/iphone,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,https://twitter.com/dog_rates/status/882762694511734784/photo/1,Gus,10.0,12.0,pupper,2017-07-06 00:46:41,26780.0,4514.0,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1.0,Labrador_retriever,0.85005,True,Chesapeake_bay_retriever,0.074257,True,Flat-coated_retriever,0.015579399999999997,True
46,882627270321602560,2017-07-05 15:48:34,http://twitter.com/download/iphone,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,https://twitter.com/dog_rates/status/882627270321602560/photo/1,Stanley,10.0,13.0,None,2017-07-05 15:48:34,26487.0,5603.0,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,1.0,Pembroke,0.542982,True,Chihuahua,0.251988,True,Cardigan,0.107699,True
47,882268110199369728,2017-07-04 16:01:23,http://twitter.com/download/iphone,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,"https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1",Alfy,10.0,13.0,None,2017-07-04 16:01:23,42494.0,10698.0,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,1.0,Golden_retriever,0.762211,True,Labrador_retriever,0.0989849,True,Cocker_spaniel,0.0171995,True
48,882045870035918850,2017-07-04 01:18:17,http://twitter.com/download/iphone,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko https://t.co/zeDpnsKX7w","https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1",Koko,10.0,13.0,None,2017-07-04 01:18:17,27765.0,4517.0,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,1.0,Web_site,0.949591,False,Dhole,0.0173258,False,Golden_retriever,0.00694063,True
49,881906580714921986,2017-07-03 16:04:48,http://twitter.com/download/iphone,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ,https://twitter.com/dog_rates/status/881906580714921986/photo/1,Rey,10.0,12.0,None,2017-07-03 16:04:48,23046.0,3131.0,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,1.0,Weimaraner,0.291539,True,Chesapeake_bay_retriever,0.278966,True,Koala,0.12701700000000002,False
50,881666595344535552,2017-07-03 00:11:11,http://twitter.com/download/iphone,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,https://twitter.com/dog_rates/status/881666595344535552/photo/1,Gary,10.0,13.0,None,2017-07-03 00:11:11,47954.0,9860.0,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,1.0,Saluki,0.529012,True,Afghan_hound,0.25000300000000003,True,Golden_retriever,0.16073900000000002,True
51,881536004380872706,2017-07-02 15:32:16,http://twitter.com/download/iphone,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) https://t.co/ghXBIIeQZF",https://twitter.com/dog_rates/status/881536004380872706/video/1,None,10.0,14.0,pupper,2017-07-02 15:32:16,46844.0,14740.0,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,1.0,Samoyed,0.281463,True,Angora,0.272066,False,Persian_cat,0.114854,False
52,881268444196462592,2017-07-01 21:49:04,http://twitter.com/download/iphone,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate #Canada150. 12/10 would pet https://t.co/cgwJwowTMC,https://twitter.com/dog_rates/status/881268444196462592/photo/1,Elliot,10.0,12.0,None,2017-07-01 21:49:04,21970.0,4844.0,https://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg,1.0,Tusker,0.473303,False,Indian_elephant,0.245646,False,Ibex,0.0556607,False
53,880935762899988482,2017-06-30 23:47:07,http://twitter.com/download/iphone,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking https://t.co/D0wb1GlKAt,https://twitter.com/dog_rates/status/880935762899988482/photo/1,Louis,10.0,13.0,None,2017-06-30 23:47:07,16158.0,2575.0,https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,1.0,Street_sign,0.251801,False,Umbrella,0.115123,False,Traffic_light,0.0695338,False
54,880872448815771648,2017-06-30 19:35:32,http://twitter.com/download/iphone,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10 https://t.co/WiAMbTkDPf,https://twitter.com/dog_rates/status/880872448815771648/photo/1,None,10.0,12.0,None,2017-06-30 19:35:32,20164.0,3531.0,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,1.0,Pembroke,0.791416,True,Norwich_terrier,0.0613929,True,Chihuahua,0.0337257,True
